Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Piutang Pembiayaan,Piutang Sewa Pembiayaan,Piutang Sewa Pembiayaan,Others,Total Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Pinjaman Yang Diterima,Utang Pajak,Beban Akrual,Efek-Efek Yang Diterbitkan,Liabilitas Derivatif,Utang Obligasi,Medium Term Notes,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,315083000000.000000,,,,410283000000.000000,-86792000000.000000,323491000000.000000,,3099400000000.000000,11910000000.000000,-700486000000.000000,2410824000000.000000,,40538000000.000000,,54991000000.000000,54991000000.000000,,385745000000.000000,3530672000000.000000,,,1801262000000.000000,50294000000.000000,68585000000.000000,,,198681000000.000000,,54180000000.000000,173000000.000000,2173175000000.000000,,380170000000.000000,357906000000.000000,619421000000.000000,,619421000000.000000,619421000000.000000,,,1357497000000.000000,3530672000000.000000,760339281.000000
12M 2009,,165759000000.000000,,,,240053000000.000000,-72792000000.000000,167261000000.000000,,2511721000000.000000,9256000000.000000,-604812000000.000000,1916165000000.000000,,27100000000.000000,,54864000000.000000,54864000000.000000,,61831000000.000000,2392980000000.000000,,,656663000000.000000,25357000000.000000,85460000000.000000,,,,,47792000000.000000,43538000000.000000,858810000000.000000,,380170000000.000000,357906000000.000000,796094000000.000000,3000000000.000000,793094000000.000000,796094000000.000000,,,1534170000000.000000,2392980000000.000000,760339281.000000
12M 2010,,334479000000.000000,,,511442000000.000000,,,511442000000.000000,,2793652000000.000000,13051000000.000000,,2806703000000.000000,,6337000000.000000,144972000000.000000,,144972000000.000000,,66158000000.000000,3870091000000.000000,,,1592513000000.000000,21412000000.000000,72513000000.000000,,,159151000000.000000,,72968000000.000000,10684000000.000000,1929241000000.000000,,380170000000.000000,357906000000.000000,1202774000000.000000,6000000000.000000,1196774000000.000000,1202774000000.000000,,,1940850000000.000000,3870091000000.000000,760339281.000000
12M 2011,,166696000000.000000,64000000000.000000,,1084706000000.000000,,,1084706000000.000000,,3648429000000.000000,17434000000.000000,,3665863000000.000000,,4403000000.000000,204196000000.000000,,204196000000.000000,,114913000000.000000,5304777000000.000000,,,2316065000000.000000,20629000000.000000,64195000000.000000,,,481631000000.000000,,44361000000.000000,11664000000.000000,2938545000000.000000,,380170000000.000000,357906000000.000000,1628156000000.000000,6000000000.000000,1622156000000.000000,1628156000000.000000,,,2366232000000.000000,5304777000000.000000,760339281.000000
12M 2012,,168897000000.000000,,,1940966000000.000000,,,1940966000000.000000,,3999218000000.000000,,,3999218000000.000000,,5489000000.000000,304985000000.000000,,304985000000.000000,,150941000000.000000,6570496000000.000000,,,2406204000000.000000,31142000000.000000,70228000000.000000,1124537000000.000000,,,,61905000000.000000,14626000000.000000,3708642000000.000000,,380170000000.000000,357906000000.000000,2118428000000.000000,9000000000.000000,2109428000000.000000,2118428000000.000000,,5350000000.000000,2861854000000.000000,6570496000000.000000,1520678562.000000
12M 2013,,224762000000.000000,,,1929061000000.000000,,,1929061000000.000000,,5310425000000.000000,,,5310425000000.000000,79571000000.000000,12018000000.000000,413959000000.000000,,413959000000.000000,,323528000000.000000,8293324000000.000000,,,3172611000000.000000,59621000000.000000,80263000000.000000,1453708000000.000000,,,,109227000000.000000,20538000000.000000,4895968000000.000000,,381654000000.000000,374108000000.000000,2627047000000.000000,12000000000.000000,2615047000000.000000,2627047000000.000000,,14547000000.000000,3397356000000.000000,8293324000000.000000,1526614562.000000
12M 2014,,289680000000.000000,,,3115372000000.000000,,,3115372000000.000000,,5443217000000.000000,,,5443217000000.000000,126291000000.000000,20176000000.000000,446831000000.000000,,446831000000.000000,,229136000000.000000,9670703000000.000000,,,3932558000000.000000,33282000000.000000,106538000000.000000,1622047000000.000000,,,,105885000000.000000,256123000000.000000,6056433000000.000000,,387484000000.000000,432918000000.000000,2816972000000.000000,15000000000.000000,2801972000000.000000,2816972000000.000000,,-23104000000.000000,3614270000000.000000,9670703000000.000000,1549934562.000000
12M 2015,,777233000000.000000,,,5209847000000.000000,,,5209847000000.000000,,4688156000000.000000,,,4688156000000.000000,141317000000.000000,13885000000.000000,450162000000.000000,,450162000000.000000,,489814000000.000000,11770414000000.000000,,,5636699000000.000000,92449000000.000000,140586000000.000000,1681116000000.000000,,,,87491000000.000000,112970000000.000000,7751311000000.000000,,391490000000.000000,475176000000.000000,3169585000000.000000,22374000000.000000,3147211000000.000000,3169585000000.000000,,-17148000000.000000,4019103000000.000000,11770414000000.000000,1565959562.000000
12M 2016,,165388000000.000000,,,7121175000000.000000,,,7121175000000.000000,,4462184000000.000000,,,4462184000000.000000,164090000000.000000,36554000000.000000,414143000000.000000,,414143000000.000000,19712000000.000000,93010000000.000000,12476256000000.000000,,,4690939000000.000000,93541000000.000000,190240000000.000000,2965295000000.000000,,,,139914000000.000000,141643000000.000000,8221572000000.000000,,399178000000.000000,553286000000.000000,3636645000000.000000,31696000000.000000,3604949000000.000000,3636645000000.000000,,-334425000000.000000,4254684000000.000000,12476256000000.000000,1596711562.000000
12M 2017,,225203000000.000000,,,9435315000000.000000,,,9435315000000.000000,,5916685000000.000000,,,5916685000000.000000,236788000000.000000,65588000000.000000,457376000000.000000,,457376000000.000000,20552000000.000000,125766000000.000000,16483273000000.000000,,,6819052000000.000000,140151000000.000000,293527000000.000000,3909411000000.000000,817000000.000000,,,214721000000.000000,201328000000.000000,11579007000000.000000,,399178000000.000000,553286000000.000000,4315366000000.000000,72733000000.000000,4242633000000.000000,4315366000000.000000,1000000.000000,-363565000000.000000,4904266000000.000000,16483273000000.000000,15967115620.000000
12M 2018,,755247000000.000000,,,11357670000000.000000,,,11357670000000.000000,5922788000000.000000,,,,5922788000000.000000,198271000000.000000,68382000000.000000,530145000000.000000,,530145000000.000000,32374000000.000000,252428000000.000000,19117305000000.000000,,,6899860000000.000000,67063000000.000000,287878000000.000000,5196220000000.000000,,,,258232000000.000000,204256000000.000000,12913509000000.000000,,399178000000.000000,553286000000.000000,5543730000000.000000,86307000000.000000,5457423000000.000000,5543730000000.000000,4000000.000000,-292402000000.000000,6203796000000.000000,19117305000000.000000,15967115620.000000
12M 2019,,660032000000.000000,,17395920000000.000000,,,,,,,,,,153494000000.000000,110362000000.000000,541056000000.000000,,541056000000.000000,30165000000.000000,198604000000.000000,19089633000000.000000,,,7730021000000.000000,73271000000.000000,796709000000.000000,3758283000000.000000,130029000000.000000,,,260542000000.000000,260598000000.000000,13009453000000.000000,,399178000000.000000,553286000000.000000,5522160000000.000000,100000000000.000000,5422160000000.000000,5522160000000.000000,7000000.000000,-394451000000.000000,6080180000000.000000,19089633000000.000000,15967115620.000000
12M 2020,,1414691000000.000000,,12678444000000.000000,,,,,,,,,,154904000000.000000,205024000000.000000,606304000000.000000,,606304000000.000000,43009000000.000000,98155000000.000000,15200531000000.000000,,,4794844000000.000000,101719000000.000000,194038000000.000000,2978631000000.000000,132596000000.000000,,,237020000000.000000,155529000000.000000,8594377000000.000000,,399178000000.000000,553286000000.000000,5923573000000.000000,105000000000.000000,5818573000000.000000,5923573000000.000000,4000000.000000,-269887000000.000000,6606154000000.000000,15200531000000.000000,15967115620.000000
12M 2021,,969182000000.000000,,13676190000000.000000,,,,,,,,,,87089000000.000000,166081000000.000000,606641000000.000000,,606641000000.000000,56193000000.000000,74363000000.000000,15635739000000.000000,,,4789422000000.000000,120131000000.000000,338442000000.000000,2487483000000.000000,48115000000.000000,,,305087000000.000000,116833000000.000000,8205513000000.000000,,399178000000.000000,553286000000.000000,6680757000000.000000,110000000000.000000,6570757000000.000000,6680757000000.000000,539000000.000000,-203534000000.000000,7430226000000.000000,15635739000000.000000,15967115620.000000
12M 2022,,1073255000000.000000,,19554254000000.000000,,,,,,,,,,162635000000.000000,164029000000.000000,659145000000.000000,,659145000000.000000,139499000000.000000,176817000000.000000,21929634000000.000000,,,10246908000000.000000,263269000000.000000,479299000000.000000,1581490000000.000000,,,,489352000000.000000,113407000000.000000,13173725000000.000000,,399178000000.000000,609459000000.000000,7916690000000.000000,115000000000.000000,7801690000000.000000,7916690000000.000000,786000000.000000,-170204000000.000000,8755909000000.000000,21929634000000.000000,15967115620.000000
12M 2023,,1739659000000.000000,,20706393000000.000000,,,,,,,,,,250715000000.000000,131963000000.000000,720827000000.000000,,720827000000.000000,255166000000.000000,186712000000.000000,23991435000000.000000,,,8665860000000.000000,199717000000.000000,324121000000.000000,4720775000000.000000,,,,437423000000.000000,143743000000.000000,14491639000000.000000,,399178000000.000000,609459000000.000000,8658215000000.000000,120000000000.000000,8538215000000.000000,8658215000000.000000,698000000.000000,-167754000000.000000,9499796000000.000000,23991435000000.000000,15967115620.000000
12M 2024,,1614126000000.000000,,22012814000000.000000,,,,,,,,,,292500000000.000000,152259000000.000000,672545000000.000000,,672545000000.000000,199409000000.000000,176167000000.000000,25119820000000.000000,,,10822571000000.000000,173291000000.000000,301576000000.000000,2935877000000.000000,,,,552792000000.000000,152048000000.000000,14938155000000.000000,,399178000000.000000,609459000000.000000,9395860000000.000000,125000000000.000000,9270860000000.000000,9395860000000.000000,562000000.000000,-223394000000.000000,10181665000000.000000,25119820000000.000000,15967115620.000000
