Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penelitian Dan Pengembangan,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1627821000000.000000,-798676000000.000000,829145000000.000000,-270756000000.000000,-123709000000.000000,-131158000000.000000,,-2439000000.000000,-13450000000.000000,-270756000000.000000,558389000000.000000,-25062000000.000000,885000000.000000,-25947000000.000000,-25062000000.000000,533327000000.000000,-148554000000.000000,-151921000000.000000,3367000000.000000,-148554000000.000000,384773000000.000000,13628000000.000000,398401000000.000000,,,,,398401000000.000000,384773000000.000000,13628000000.000000,398401000000.000000,,,,
12M 2009,782125000000.000000,-440540000000.000000,341585000000.000000,-165166000000.000000,-112146000000.000000,-54889000000.000000,,4512000000.000000,-2643000000.000000,-165166000000.000000,176419000000.000000,-48574000000.000000,937000000.000000,-49511000000.000000,-48574000000.000000,127845000000.000000,-38909000000.000000,-37894000000.000000,-1015000000.000000,-38909000000.000000,88936000000.000000,-13156000000.000000,75780000000.000000,,,,,75780000000.000000,88936000000.000000,-13156000000.000000,75780000000.000000,,,,
12M 2010,894865000000.000000,-527547000000.000000,367318000000.000000,-179572000000.000000,-125549000000.000000,-55438000000.000000,,1312000000.000000,103000000.000000,-179572000000.000000,187746000000.000000,-11307000000.000000,151000000.000000,-11458000000.000000,-11307000000.000000,176439000000.000000,-26139000000.000000,-30774000000.000000,4635000000.000000,-26139000000.000000,150300000000.000000,-6811000000.000000,143489000000.000000,,,,,143489000000.000000,150300000000.000000,-6811000000.000000,143489000000.000000,,,,
12M 2011,998656000000.000000,-582596000000.000000,416060000000.000000,-234243000000.000000,-129012000000.000000,-65311000000.000000,,,-39920000000.000000,-234243000000.000000,181817000000.000000,9332000000.000000,10045000000.000000,-713000000.000000,9332000000.000000,191149000000.000000,-43014000000.000000,-43805000000.000000,791000000.000000,-43014000000.000000,,,148135000000.000000,,,,148135000000.000000,148135000000.000000,146127000000.000000,2008000000.000000,148135000000.000000,148135000000.000000,146127000000.000000,2008000000.000000,148135000000.000000
12M 2012,866269000000.000000,-477280000000.000000,388989000000.000000,-226317000000.000000,-149087000000.000000,-65910000000.000000,,,-11320000000.000000,-226317000000.000000,162672000000.000000,6724000000.000000,7982000000.000000,-1258000000.000000,6724000000.000000,169396000000.000000,-40046000000.000000,,,-40046000000.000000,,,129350000000.000000,,,,129350000000.000000,129350000000.000000,129321000000.000000,29000000.000000,129350000000.000000,129350000000.000000,129321000000.000000,29000000.000000,129350000000.000000
12M 2013,1056361000000.000000,-608481000000.000000,447880000000.000000,-296440000000.000000,-175305000000.000000,-76201000000.000000,,,-44934000000.000000,-296440000000.000000,151440000000.000000,4795000000.000000,6120000000.000000,-1325000000.000000,4795000000.000000,156235000000.000000,-29194000000.000000,,,-29194000000.000000,,,127041000000.000000,,,,127041000000.000000,127041000000.000000,127025000000.000000,16000000.000000,127041000000.000000,127041000000.000000,127025000000.000000,16000000.000000,127041000000.000000
12M 2014,1155560000000.000000,-752239000000.000000,403321000000.000000,-200016000000.000000,-135208000000.000000,-61648000000.000000,,,-3160000000.000000,-200016000000.000000,203305000000.000000,5847000000.000000,6748000000.000000,-901000000.000000,5847000000.000000,209152000000.000000,-43873000000.000000,,,-43873000000.000000,,,165279000000.000000,,,,165279000000.000000,165279000000.000000,165263000000.000000,16000000.000000,165279000000.000000,165279000000.000000,165263000000.000000,16000000.000000,165279000000.000000
12M 2015,1437531000000.000000,-875444000000.000000,562087000000.000000,-241144000000.000000,-183362000000.000000,-87029000000.000000,,,29247000000.000000,-241144000000.000000,320943000000.000000,10650000000.000000,11597000000.000000,-947000000.000000,10650000000.000000,331593000000.000000,-67626000000.000000,,,-67626000000.000000,,,263967000000.000000,1105000000.000000,,1105000000.000000,265072000000.000000,263967000000.000000,263920000000.000000,47000000.000000,263967000000.000000,265072000000.000000,265025000000.000000,47000000.000000,265072000000.000000
12M 2016,1852079000000.000000,-1048130000000.000000,803949000000.000000,-363310000000.000000,-245841000000.000000,-110017000000.000000,,,-7452000000.000000,-363310000000.000000,440639000000.000000,13456000000.000000,14386000000.000000,-930000000.000000,13456000000.000000,454095000000.000000,-117875000000.000000,,,-117875000000.000000,,,336220000000.000000,119000000.000000,119000000.000000,119000000.000000,336339000000.000000,336220000000.000000,336137000000.000000,83000000.000000,336220000000.000000,336339000000.000000,336256000000.000000,83000000.000000,336339000000.000000
12M 2017,2310290000000.000000,-1430026000000.000000,880264000000.000000,-379541000000.000000,-286253000000.000000,-104535000000.000000,,,11247000000.000000,-379541000000.000000,500723000000.000000,18474000000.000000,18552000000.000000,-78000000.000000,18474000000.000000,519197000000.000000,-115910000000.000000,,,-115910000000.000000,,,403287000000.000000,-2781000000.000000,-2781000000.000000,-2781000000.000000,400506000000.000000,403287000000.000000,403180000000.000000,107000000.000000,403287000000.000000,400506000000.000000,400399000000.000000,107000000.000000,400506000000.000000
12M 2018,2265615000000.000000,-1406725000000.000000,858890000000.000000,-360977000000.000000,-245694000000.000000,-132603000000.000000,,,17320000000.000000,-360977000000.000000,497913000000.000000,7586000000.000000,9179000000.000000,-1593000000.000000,7586000000.000000,505499000000.000000,-101629000000.000000,,,-101629000000.000000,,,403870000000.000000,5969000000.000000,5969000000.000000,5969000000.000000,409839000000.000000,403870000000.000000,403822000000.000000,48000000.000000,403870000000.000000,409839000000.000000,409790000000.000000,49000000.000000,409839000000.000000
12M 2019,2272410000000.000000,-1479552000000.000000,792858000000.000000,-378283000000.000000,-243770000000.000000,-148816000000.000000,,,14303000000.000000,-378283000000.000000,414575000000.000000,-9804000000.000000,1517000000.000000,-11321000000.000000,-9804000000.000000,404771000000.000000,-97819000000.000000,,,-97819000000.000000,,,306952000000.000000,-195000000.000000,-195000000.000000,-195000000.000000,306757000000.000000,306952000000.000000,306823000000.000000,129000000.000000,306952000000.000000,306757000000.000000,306628000000.000000,129000000.000000,306757000000.000000
12M 2020,1812762000000.000000,-1124032000000.000000,688730000000.000000,-326242000000.000000,-158776000000.000000,-96011000000.000000,-62047000000.000000,,-9408000000.000000,-326242000000.000000,362488000000.000000,2450000000.000000,5199000000.000000,-2749000000.000000,2450000000.000000,364938000000.000000,-89271000000.000000,,,-89271000000.000000,,,275667000000.000000,-2020000000.000000,-2020000000.000000,-2020000000.000000,273647000000.000000,275667000000.000000,275453000000.000000,214000000.000000,275667000000.000000,273647000000.000000,273434000000.000000,213000000.000000,273647000000.000000
12M 2021,2015138000000.000000,-1205168000000.000000,809970000000.000000,-349794000000.000000,-179229000000.000000,-93183000000.000000,-65426000000.000000,,-11956000000.000000,-349794000000.000000,460176000000.000000,17191000000.000000,17321000000.000000,-130000000.000000,17191000000.000000,477367000000.000000,-96375000000.000000,,,-96375000000.000000,,,380992000000.000000,2666000000.000000,2666000000.000000,2666000000.000000,383658000000.000000,380992000000.000000,380808000000.000000,184000000.000000,380992000000.000000,383658000000.000000,383474000000.000000,184000000.000000,383658000000.000000
12M 2022,2415592000000.000000,-1395090000000.000000,1020502000000.000000,-404252000000.000000,-227579000000.000000,-111436000000.000000,-79421000000.000000,,14184000000.000000,-404252000000.000000,616250000000.000000,28644000000.000000,28708000000.000000,-64000000.000000,28644000000.000000,644894000000.000000,-121652000000.000000,,,-121652000000.000000,,,523242000000.000000,3055000000.000000,3055000000.000000,3055000000.000000,526297000000.000000,523242000000.000000,523086000000.000000,156000000.000000,523242000000.000000,526297000000.000000,526139000000.000000,158000000.000000,526297000000.000000
12M 2023,2298131000000.000000,-1136012000000.000000,1162119000000.000000,-469778000000.000000,-265621000000.000000,-111933000000.000000,-90245000000.000000,,-1979000000.000000,-469778000000.000000,692341000000.000000,41554000000.000000,41834000000.000000,-280000000.000000,41554000000.000000,733895000000.000000,-138155000000.000000,,,-138155000000.000000,,,595740000000.000000,4706000000.000000,4706000000.000000,4706000000.000000,600446000000.000000,595740000000.000000,595629000000.000000,111000000.000000,595740000000.000000,600446000000.000000,600334000000.000000,112000000.000000,600446000000.000000
12M 2024,1367926000000.000000,-742939000000.000000,624987000000.000000,-418686000000.000000,-233943000000.000000,-82054000000.000000,-100847000000.000000,,-1842000000.000000,-418686000000.000000,206301000000.000000,28679000000.000000,28914000000.000000,-235000000.000000,28679000000.000000,234980000000.000000,-56340000000.000000,,,-56340000000.000000,,,178640000000.000000,3469000000.000000,3469000000.000000,3469000000.000000,182109000000.000000,178640000000.000000,178507000000.000000,133000000.000000,178640000000.000000,182109000000.000000,181975000000.000000,134000000.000000,182109000000.000000
