Period,Aset,Aset Lancar,Kas Dan Setara Kas,Efek Tersedia Untuk Dijual,Pihak Ketiga,Pihak Berelasi,Total Efek Tersedia Untuk Dijual,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Properti Investasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Investasi Pada Entitas Asosiasi,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Lain-Lain,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2014,,,34662879595.000000,,,,,121395687696.000000,116260771833.000000,5134915863.000000,121395687696.000000,2686931331.000000,2686931331.000000,,2686931331.000000,205112296264.000000,133590153123.000000,497447948009.000000,,62988146116.000000,15798017007.000000,15798017007.000000,15798017007.000000,3473210079415.000000,,31659517881.000000,,,140593178479.000000,3724248938898.000000,4221696886907.000000,,,510983513757.000000,,,192433725061.000000,2692800.000000,192436417861.000000,,26941638415.000000,209245830754.000000,236187469169.000000,1331597275.000000,,,56856323360.000000,,,,56856323360.000000,,24171706092.000000,510983513757.000000,3096075682854.000000,,2014661571864.000000,,1061162045245.000000,,3075823617109.000000,,20252065745.000000,3096075682854.000000,3607059196611.000000,,766285500000.000000,,-526495810936.000000,10640000000.000000,-537135810936.000000,-526495810936.000000,352272501232.000000,22575500000.000000,614637690296.000000,4221696886907.000000,1532571000.000000
12M 2015,,,12411866305.000000,,,,,109682233363.000000,106170381752.000000,3511851611.000000,109682233363.000000,22425240212.000000,22425240212.000000,,22425240212.000000,309153528810.000000,144582002478.000000,598254871168.000000,,71097287223.000000,46539905668.000000,46539905668.000000,46539905668.000000,4104638615350.000000,,32020111645.000000,,,25817112933.000000,4280113032819.000000,4878367903987.000000,,,831964891090.000000,159950409746.000000,,224570827681.000000,31194460.000000,224602022141.000000,,92266319871.000000,213760384056.000000,306026703927.000000,1300106242.000000,67144967165.000000,,64008804552.000000,,,,64008804552.000000,,8931877317.000000,831964891090.000000,2650441188352.000000,,2363501465267.000000,,,,2363501465267.000000,,286939723085.000000,2650441188352.000000,3482406079442.000000,,1800731400000.000000,,-840590028100.000000,10640000000.000000,-851230028100.000000,-840590028100.000000,300283460365.000000,135536992280.000000,1395961824545.000000,4878367903987.000000,3601462800.000000
12M 2016,,,123792524000.000000,,,,,156422015000.000000,89496391000.000000,66925624000.000000,156422015000.000000,2271055000.000000,2271055000.000000,,2271055000.000000,225404688000.000000,74153210000.000000,582043492000.000000,,186261093000.000000,20281111000.000000,20281111000.000000,20281111000.000000,3893899237000.000000,,32005778000.000000,,,29089047000.000000,4161536266000.000000,4743579758000.000000,,,773443042000.000000,284936213000.000000,,178977778000.000000,1952000.000000,178979730000.000000,,162499306000.000000,613461000.000000,163112767000.000000,2871702000.000000,61553514000.000000,,64659756000.000000,,,209651000.000000,64869407000.000000,,17119709000.000000,773443042000.000000,2791669618000.000000,,2368410800000.000000,,,291165000.000000,2368701965000.000000,,422967653000.000000,2791669618000.000000,3565112660000.000000,,1800731400000.000000,27500000.000000,-1094544443000.000000,10640000000.000000,-1105184443000.000000,-1094544443000.000000,336715649000.000000,135536992000.000000,1178467098000.000000,4743579758000.000000,3601462800.000000
12M 2017,,,7212429000.000000,,,,,25298298000.000000,4009191000.000000,21289107000.000000,25298298000.000000,4319679000.000000,4319679000.000000,,4319679000.000000,167237942000.000000,43761280000.000000,247829628000.000000,,101342526000.000000,20731111000.000000,20731111000.000000,20731111000.000000,3638921738000.000000,,14590078000.000000,,,11671304000.000000,3787256757000.000000,4035086385000.000000,,,1083630250000.000000,334915137000.000000,,213061434000.000000,,213061434000.000000,,193672735000.000000,22773192000.000000,216445927000.000000,1667670000.000000,82089183000.000000,,209636161000.000000,,,1667850000.000000,211304011000.000000,,24146888000.000000,1083630250000.000000,2617920946000.000000,,2156562200000.000000,,,1946629000.000000,2158508829000.000000,61911047000.000000,397501070000.000000,2617920946000.000000,3701551196000.000000,,1800731400000.000000,,-1727644583000.000000,10640000000.000000,-1738284583000.000000,-1727644583000.000000,124883880000.000000,135564492000.000000,333535189000.000000,4035086385000.000000,3601462800.000000
12M 2018,,,7119116000.000000,,,,,5002929000.000000,3946955000.000000,1055974000.000000,5002929000.000000,3711801000.000000,3711801000.000000,,3711801000.000000,20851296000.000000,448172000.000000,37133314000.000000,,,108518113000.000000,20821111000.000000,108518113000.000000,411184843000.000000,,33442000.000000,,,9249844000.000000,528986242000.000000,566119556000.000000,,,235055724000.000000,107159400000.000000,,4856216000.000000,,4856216000.000000,,34310874000.000000,78909192000.000000,113220066000.000000,1584871000.000000,8235171000.000000,,,,,,,,,235055724000.000000,215745501000.000000,,,,,,,51687848000.000000,164057653000.000000,215745501000.000000,450801225000.000000,,1800731400000.000000,135564492000.000000,-1788613287000.000000,10640000000.000000,-1799253287000.000000,-1788613287000.000000,-11543163000.000000,,136139442000.000000,586940667000.000000,3601462800.000000
12M 2019,,,164551000.000000,,,,,2924163000.000000,2856331000.000000,67832000.000000,2924163000.000000,522519000.000000,522519000.000000,,522519000.000000,17371110000.000000,167933000.000000,21150276000.000000,,,15378121000.000000,15378121000.000000,15378121000.000000,377475938000.000000,805376000.000000,,,,8981350000.000000,402640785000.000000,423791061000.000000,,,245687022000.000000,102867474000.000000,,6227674000.000000,,6227674000.000000,,40519382000.000000,83100192000.000000,123619574000.000000,976186000.000000,11996114000.000000,,,,,,,,,245687022000.000000,107946963000.000000,,,,,,,48631245000.000000,59315718000.000000,107946963000.000000,353633985000.000000,,1800731400000.000000,135564492000.000000,-1853517853000.000000,10640000000.000000,-1864157853000.000000,-1853517853000.000000,-12620963000.000000,,70157076000.000000,423791061000.000000,3601462800.000000
12M 2020,,,809138000.000000,,,,,2692046000.000000,2692046000.000000,,2692046000.000000,1621591000.000000,1621591000.000000,,1621591000.000000,15594240000.000000,20803000.000000,20737818000.000000,,,15755121000.000000,15755121000.000000,15755121000.000000,344195297000.000000,805376000.000000,,,,2622587000.000000,363378381000.000000,384116199000.000000,,,245260776000.000000,104377074000.000000,,6353695000.000000,,6353695000.000000,,51130529000.000000,55191542000.000000,106322071000.000000,1702009000.000000,24680158000.000000,,,,,,,,1825769000.000000,245260776000.000000,117869785000.000000,,,,,,,38718712000.000000,79151073000.000000,117869785000.000000,363130561000.000000,,1800731400000.000000,135564492000.000000,-1901974034000.000000,10640000000.000000,-1912614034000.000000,-1901974034000.000000,-13336220000.000000,,20985638000.000000,384116199000.000000,3601462800.000000
12M 2021,,,476927000.000000,,,,,786185000.000000,786185000.000000,,786185000.000000,1720141000.000000,1720141000.000000,,1720141000.000000,11993215000.000000,104776000.000000,15081244000.000000,,,15755121000.000000,15755121000.000000,15755121000.000000,310796530000.000000,2121943000.000000,,,,2622587000.000000,331296181000.000000,346377425000.000000,,,256839206000.000000,105590674000.000000,,6222459000.000000,,6222459000.000000,,54805487000.000000,60387541000.000000,115193028000.000000,2744163000.000000,26694397000.000000,,,,,,,,394485000.000000,256839206000.000000,109970521000.000000,,,,,,,35691486000.000000,74279035000.000000,109970521000.000000,366809727000.000000,,1800731400000.000000,135564492000.000000,-1942821153000.000000,10640000000.000000,-1953461153000.000000,-1942821153000.000000,-13907041000.000000,,-20432302000.000000,346377425000.000000,3601462800.000000
12M 2022,,,711466000.000000,,,,,809492000.000000,809492000.000000,,809492000.000000,985680000.000000,985680000.000000,,985680000.000000,8195435000.000000,1329156000.000000,12031229000.000000,,,15766121000.000000,15766121000.000000,15766121000.000000,233151552000.000000,2121943000.000000,,,,2622587000.000000,253662203000.000000,265693432000.000000,,,233520736000.000000,116409400000.000000,,5344996000.000000,,5344996000.000000,,62340054000.000000,29096542000.000000,91436596000.000000,191012000.000000,20138732000.000000,,,,,,,,,233520736000.000000,109955282000.000000,,,,,,,16646691000.000000,93308591000.000000,109955282000.000000,343476018000.000000,,1800731400000.000000,135564492000.000000,-1999820997000.000000,10640000000.000000,-2010460997000.000000,-1999820997000.000000,-14257481000.000000,,-77782586000.000000,265693432000.000000,3601462800.000000
12M 2023,,,680079000.000000,,,,,800813000.000000,799051000.000000,1762000.000000,800813000.000000,1049691000.000000,1049691000.000000,,1049691000.000000,6205348000.000000,154656000.000000,8890587000.000000,,,15667121000.000000,15667121000.000000,15667121000.000000,203186186000.000000,8855216000.000000,,,,2622587000.000000,230331110000.000000,239221697000.000000,,,228564538000.000000,114078400000.000000,,5062811000.000000,,5062811000.000000,,62201893000.000000,26298542000.000000,88500435000.000000,186870000.000000,20736022000.000000,,,,,,,,,228564538000.000000,103404377000.000000,,,,,,,13732680000.000000,89671697000.000000,103404377000.000000,331968915000.000000,,1800731400000.000000,135564492000.000000,-2014026780000.000000,10640000000.000000,-2024666780000.000000,-2014026780000.000000,-14531714000.000000,-484617000.000000,-92747219000.000000,239221696000.000000,3601462800.000000
12M 2024,,,244836000.000000,,,,,1365204000.000000,1365204000.000000,,1365204000.000000,270845000.000000,270845000.000000,,270845000.000000,2084956000.000000,105568000.000000,4071409000.000000,,,15633246000.000000,15633246000.000000,15633246000.000000,182694480000.000000,8855216000.000000,,,,2622587000.000000,209805529000.000000,213876938000.000000,,,232979343000.000000,119598800000.000000,,5243460000.000000,,5243460000.000000,,59921822000.000000,28910542000.000000,88832364000.000000,318917000.000000,18985802000.000000,,,,,,,,,232979343000.000000,101610797000.000000,,,,,,,11570951000.000000,90039846000.000000,101610797000.000000,334590140000.000000,,1800731400000.000000,135564492000.000000,-2041215316000.000000,10640000000.000000,-2051855316000.000000,-2041215316000.000000,-15305685000.000000,-488093000.000000,-120713202000.000000,213876938000.000000,3601462800.000000
