Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Komisaris, Direksi Dan Karyawan",Pembayaran Kas Kepada Pemasok,Pembayaran Beban Operasional,Penerimaan (Pembayaran) Lainnya,Penerimaan Penghasilan Bunga,Beban Bunga,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Tanaman Perkebunan Belum Menghasilkan,Pemeliharaan Tanaman Perkebunan Belum Menghasilkan,Kenaikan (Penurunan) Tanaman Perkebunan,Penjualan Aset Tetap,Penurunan (Kenaikan) Piutang Pihak Berelasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Pembibitan,Pembayaran Biaya Ditangguhkan,Perolehan Investasi Pada Entitas Anak,Pembayaran Uang Muka Lahan,Peningkatan Aset Tidak Lancar Lainnya,Penerimaan Kembali Uang Muka Pembelian Aset Tetap,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,"Pembayaran Kepada Pihak Berelasi, Pihak Ketiga",Penerimaan (Pembayaran) Utang Jangka Pendek,Pembayaran Liabilitas Jangka Panjang Pihak Ketiga,Setoran Modal,Biaya Emisi Saham,Penurunan Utang Pembelian Kendaraan,Perolehan Utang Bank,Pembayaran Utang Bank,Pembayaran Bunga Utang Bank,Penerimaan Dari (Pengeluaran Untuk) Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Bunga Utang Pembiayaan Konsumen,Peningkatan (Penurunan) Liabilitas Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Bunga Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Dari Piutang Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,8609205799.000000,38210623709.000000,-1336289121.000000,-21977750185.000000,-1722088106.000000,-4084885382.000000,87852566.000000,,-568257682.000000,8609205799.000000,-179694226481.000000,-68761430992.000000,,-25205174907.000000,,93804744.000000,,-31355849000.000000,-54462727326.000000,-2849000.000000,,,,,,-179694226481.000000,146476849711.000000,147077496516.000000,-96141805.000000,,,,,,,,,,-282784630.000000,-127929970.000000,,-76841503.000000,-16948897.000000,,146476849711.000000,-24608170971.000000,28189501541.000000,3581330570.000000
12M 2012,8147678171.000000,36980601740.000000,-1262636305.000000,-17516809715.000000,-2285873399.000000,-7617430918.000000,124724710.000000,,-274897942.000000,8147678171.000000,-209426693107.000000,-101314486083.000000,,-19411738303.000000,,105171816.000000,,-39388924430.000000,-85938945756.000000,-1479770351.000000,-1998000000.000000,,,40000000000.000000,,-209426693107.000000,203007235292.000000,1737295.000000,-435095436675.000000,,,300000000000.000000,,,350000000000.000000,,-10835138888.000000,,-800059159.000000,-161550481.000000,,-93301302.000000,-9015498.000000,,203007235292.000000,1728220356.000000,3581330570.000000,5309550926.000000
12M 2013,17655399097.000000,50103202463.000000,,-33149428059.000000,,,3265394549.000000,-2563769856.000000,,17655399097.000000,-255700055588.000000,-184092031964.000000,,-17359625773.000000,,8274000.000000,,,-44998241858.000000,,,,-9258429993.000000,,,-255700055588.000000,236930786866.000000,,48585922587.000000,,,440000000000.000000,-19613471519.000000,,,-352362799131.000000,,,-148622982.000000,,,120469757911.000000,,,236930786866.000000,-1113869625.000000,5309550926.000000,4195681301.000000
12M 2014,-15190246659.000000,119402460515.000000,,-102116037959.000000,,,26238710.000000,-25620919903.000000,-6881988022.000000,-15190246659.000000,-24520202905.000000,-125325915407.000000,,-2790158379.000000,,,,,103595870881.000000,,,,,,,-24520202905.000000,36428487640.000000,9683040271.000000,,,,,,-32125296.000000,38690251503.000000,,,,,,,,-11912678838.000000,,36428487640.000000,-3281961924.000000,4195681301.000000,913719377.000000
12M 2015,-32102778902.000000,111305737537.000000,,-114489498337.000000,,,15437139.000000,-26459456509.000000,-2474998732.000000,-32102778902.000000,38240681830.000000,,,220175993.000000,39663687412.000000,,,,,,,,,-1643181575.000000,,38240681830.000000,-6991295382.000000,,,,-5660587382.000000,,,-578940622.000000,,,,,,,-751767378.000000,,,,-6991295382.000000,-853392454.000000,913719377.000000,60326923.000000
12M 2016,21998108724.000000,28065891325.000000,-1247508206.000000,28782371579.000000,-34609815122.000000,1007169148.000000,,,,21998108724.000000,-22017599273.000000,,,,,,,,-22017599273.000000,,,,,,,-22017599273.000000,355449886.000000,,,,55449486.000000,300000400.000000,,,,,,,,,,,,,355449886.000000,335959337.000000,60326924.000000,396286261.000000
12M 2017,5548273995.000000,71850608057.000000,-1397566601.000000,-70750093505.000000,-3714921764.000000,9560247808.000000,,,,5548273995.000000,-5635533866.000000,-1904342800.000000,,,,,,,-3731191066.000000,,,,,,,-5635533866.000000,,,,,,,,,,,,,,,,,,,,-87259871.000000,396286261.000000,309026390.000000
12M 2018,-126905389487.000000,156120128192.000000,-10082981166.000000,-143837179727.000000,-21453870629.000000,-76193519740.000000,,-27804994484.000000,-3652971933.000000,-126905389487.000000,-298104911754.000000,-2569068193.000000,,,-11294351463.000000,,146184357468.000000,,,,-138000000000.000000,-292425849566.000000,,,,-298104911754.000000,424229072820.000000,29617235746.000000,,,,,,,468249202643.000000,-66322392044.000000,,,-3522168011.000000,,,-3792805514.000000,,,424229072820.000000,-781228421.000000,2176158491.000000,1394930070.000000
12M 2019,-38474170085.000000,176354620782.000000,-12825344020.000000,-149857118670.000000,-4071141168.000000,1202609958.000000,,-47726048300.000000,-1551748667.000000,-38474170085.000000,-55846182981.000000,-1903708017.000000,,,-40332829457.000000,,-9116076297.000000,,,,,,,,-4493569210.000000,-55846182981.000000,93276091170.000000,104860849361.000000,,,,,,,,-8798285868.000000,,,-1651317278.000000,,,-1135155045.000000,,,93276091170.000000,-1044261896.000000,1394930070.000000,350668174.000000
12M 2020,16481462113.000000,156957922995.000000,-15104766484.000000,-148708744066.000000,40228375812.000000,27672080297.000000,,-44563406441.000000,,16481462113.000000,-10938541792.000000,-6100000.000000,,,-16527189752.000000,,5594747960.000000,,,,,,,,,-10938541792.000000,-5625292936.000000,,,,,,,,,-3227702489.000000,,,-1536083451.000000,,,-861506996.000000,,,-5625292936.000000,-82372615.000000,350668174.000000,268295559.000000
12M 2021,13886243244.000000,162637536420.000000,-10441090832.000000,-137624542565.000000,-996565951.000000,361096330.000000,,-50190158.000000,,13886243244.000000,-6511917771.000000,-35030000.000000,,,,,-6476887771.000000,,,,,,,,,-6511917771.000000,-4672442789.000000,,,,,,,,,,,-3068447284.000000,-523353048.000000,,,-1080642457.000000,,,-4672442789.000000,2701882684.000000,268295559.000000,2970178243.000000
