Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Pos Luar Biasa,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,624400880523.000000,-533772146531.000000,90628733992.000000,-61459394958.000000,-35112751517.000000,-26346643441.000000,-61459394958.000000,29169339034.000000,-25491698304.000000,28038320.000000,923660593.000000,-10827099256.000000,-17220461422.000000,1604163461.000000,-25491698304.000000,3677640730.000000,1138855243.000000,-1175290100.000000,2314145343.000000,1138855243.000000,4816495973.000000,,4816495973.000000,,,,,,,4816495973.000000,4816495973.000000,,4816495973.000000,,,,
12M 2009,627114839010.000000,-525050333121.000000,102064505889.000000,-62358838567.000000,-36290243009.000000,-26068595558.000000,-62358838567.000000,39705667322.000000,130414876.000000,97575061.000000,818638001.000000,-8316867713.000000,6478597377.000000,1052472150.000000,130414876.000000,39836082198.000000,1236285155.000000,-7034043310.000000,8270328465.000000,1236285155.000000,41072367353.000000,,41072367353.000000,,,,,,,41072367353.000000,41072367353.000000,,41072367353.000000,,,,
12M 2010,762612830093.000000,-629682082530.000000,132930747563.000000,-81705564417.000000,-50186301974.000000,-31519262443.000000,-81705564417.000000,51225183146.000000,-6173214845.000000,37708900.000000,635265091.000000,-6406327999.000000,201225715.000000,-641086552.000000,-6173214845.000000,45051968301.000000,-3317941007.000000,-7732112629.000000,4414171622.000000,-3317941007.000000,41734027294.000000,1900.000000,41734029194.000000,896729906.000000,896729906.000000,,,896729906.000000,,41734029194.000000,41734027294.000000,1900.000000,41734029194.000000,,,,
12M 2011,1027683999319.000000,-849396693019.000000,178287306300.000000,-107840458534.000000,-67962747526.000000,-39877711008.000000,-107840458534.000000,70446847766.000000,-10064436197.000000,,,-9864831055.000000,,-199605142.000000,-10064436197.000000,60382411569.000000,-17707256722.000000,-11426213800.000000,-6281042922.000000,-17707256722.000000,42675154847.000000,,42675154847.000000,,,,,,,42675154847.000000,42676435395.000000,-1280548.000000,42675154847.000000,,,,
12M 2012,1283736251902.000000,-1036609081010.000000,247127170892.000000,-121685812408.000000,-73585405193.000000,-48100407215.000000,-121685812408.000000,125441358484.000000,-32324558478.000000,,,-26866970612.000000,,-5457587866.000000,-32324558478.000000,93116800006.000000,-18490616532.000000,-18618508200.000000,127891668.000000,-18490616532.000000,74626183474.000000,,74626183474.000000,,,,,,,74626183474.000000,74642894456.000000,-16710982.000000,74626183474.000000,,,,
12M 2013,1694935468814.000000,-1384916764438.000000,310018704376.000000,-126463478467.000000,-69409571345.000000,-57053907122.000000,-126463478467.000000,183555225909.000000,-40756150389.000000,,,-38432553147.000000,,-2323597242.000000,-40756150389.000000,142799075520.000000,-28362006717.000000,,,-28362006717.000000,114437068803.000000,,114437068803.000000,,,,,,,114437068803.000000,114462143992.000000,-25075189.000000,114437068803.000000,,,,
12M 2014,2170464194350.000000,-1763078470328.000000,407385724022.000000,-184041169978.000000,-116228281224.000000,-67812888754.000000,-184041169978.000000,223344554044.000000,-55579512065.000000,,,-59032724130.000000,,3453212065.000000,-55579512065.000000,167765041979.000000,-44299638031.000000,,,-44299638031.000000,123465403948.000000,,123465403948.000000,,,,,,,123465403948.000000,123498145762.000000,-32741814.000000,123465403948.000000,,,,
12M 2015,2544277844656.000000,-2012271097866.000000,532006746790.000000,-235797833764.000000,-156328960528.000000,-79468873236.000000,-235797833764.000000,296208913026.000000,-64203514253.000000,,,-69213223651.000000,,5009709398.000000,-64203514253.000000,232005398773.000000,-46300197602.000000,,,-46300197602.000000,185705201171.000000,,185705201171.000000,-2188982834.000000,,,-2188982834.000000,-2188982834.000000,183516218337.000000,185705201171.000000,185736197170.000000,-30995999.000000,185705201171.000000,183516218337.000000,183547214336.000000,-30995999.000000,183516218337.000000
12M 2016,2629107367897.000000,-2079869989276.000000,549237378621.000000,-267085558993.000000,-171366741442.000000,-95718817551.000000,-267085558993.000000,282151819628.000000,-64405511088.000000,,,-86645961692.000000,,22240450604.000000,-64405511088.000000,217746308540.000000,-43569590674.000000,,,-43569590674.000000,174176717866.000000,,174176717866.000000,-3371415321.000000,,,-3371415321.000000,-3371415321.000000,170805302545.000000,174176717866.000000,174472320062.000000,-295602196.000000,174176717866.000000,170805302545.000000,171100904741.000000,-295602196.000000,170805302545.000000
12M 2017,2825409180889.000000,-2211949522001.000000,613459658888.000000,-287928830651.000000,-187164072650.000000,-100764758001.000000,-287928830651.000000,325530828237.000000,-36985008634.000000,,,-71977480135.000000,,34992471501.000000,-36985008634.000000,288545819603.000000,-72521739769.000000,,,-72521739769.000000,216024079834.000000,,216024079834.000000,-185181145.000000,,,-185181145.000000,-185181145.000000,215838898689.000000,216024079834.000000,216365799343.000000,-341719509.000000,216024079834.000000,215838898689.000000,216180618198.000000,-341719509.000000,215838898689.000000
12M 2018,2826957323397.000000,-2207268926068.000000,619688397329.000000,-281529057223.000000,-168669440713.000000,-112859616510.000000,-281529057223.000000,338159340106.000000,-13464689931.000000,,,-54067624513.000000,,40602934582.000000,-13464689931.000000,324694650175.000000,-69605764156.000000,,,-69605764156.000000,255088886019.000000,,255088886019.000000,3156992573.000000,,,3156992573.000000,3156992573.000000,258245878592.000000,255088886019.000000,255195841882.000000,-106955863.000000,255088886019.000000,258245878592.000000,258352834455.000000,-106955863.000000,258245878592.000000
12M 2019,3512509168853.000000,-2559476265555.000000,953032903298.000000,-333799858739.000000,-217197578067.000000,-116602280672.000000,-333799858739.000000,619233044559.000000,-12189751137.000000,,,-30727064628.000000,,18537313491.000000,-12189751137.000000,607043293422.000000,-124452770582.000000,,,-124452770582.000000,482590522840.000000,,482590522840.000000,3848037411.000000,,,3848037411.000000,3848037411.000000,486438560251.000000,482590522840.000000,482621766979.000000,-31244139.000000,482590522840.000000,486438560251.000000,486469804390.000000,-31244139.000000,486438560251.000000
12M 2020,3846300254825.000000,-2776101376253.000000,1070198878572.000000,-321571925128.000000,-180762094952.000000,-140809830176.000000,-321571925128.000000,748626953444.000000,24980241677.000000,,,-22100278926.000000,,47080520603.000000,24980241677.000000,773607195121.000000,-144978315572.000000,,,-144978315572.000000,628628879549.000000,,628628879549.000000,-3382288385.000000,,,-3382288385.000000,-3382288385.000000,625246591164.000000,628628879549.000000,628562854883.000000,66024666.000000,628628879549.000000,625246591164.000000,625180566498.000000,66024666.000000,625246591164.000000
12M 2021,4241856914012.000000,-3209530695002.000000,1032326219010.000000,-403583152161.000000,-291008823486.000000,-112574328675.000000,-403583152161.000000,628743066849.000000,136445653266.000000,,,-5649763536.000000,,142095416802.000000,136445653266.000000,765188720115.000000,-147614953252.000000,,,-147614953252.000000,617573766863.000000,,617573766863.000000,9901656522.000000,,,9901656522.000000,9901656522.000000,627475423385.000000,617573766863.000000,617506021901.000000,67744962.000000,617573766863.000000,627475423385.000000,627407678423.000000,67744962.000000,627475423385.000000
12M 2022,4931553771470.000000,-3901792259235.000000,1029761512235.000000,-447630772003.000000,-318394958407.000000,-129235813596.000000,-447630772003.000000,582130740232.000000,174592780373.000000,,,-31126374.000000,,174623906747.000000,174592780373.000000,756723520605.000000,-132199514819.000000,,,-132199514819.000000,624524005786.000000,,624524005786.000000,2976145600.000000,,,,2976145600.000000,627500151386.000000,624524005786.000000,624477421592.000000,46584194.000000,624524005786.000000,627500151386.000000,627453567192.000000,46584194.000000,627500151386.000000
12M 2023,4767207433046.000000,-3331181756133.000000,1436025676913.000000,-465010473866.000000,-327958976972.000000,-137051496894.000000,-465010473866.000000,971015203047.000000,131625143621.000000,,,-8293573.000000,,131633437194.000000,131625143621.000000,1102640346668.000000,-184846323957.000000,,,-184846323957.000000,917794022711.000000,,917794022711.000000,1260680889.000000,,,,1260680889.000000,919054703600.000000,917794022711.000000,917689903741.000000,104118970.000000,917794022711.000000,919054703600.000000,918950584630.000000,104118970.000000,919054703600.000000
12M 2024,4959939533239.000000,-3399584209346.000000,1560355323893.000000,-491296014443.000000,-347811843850.000000,-143484170593.000000,-491296014443.000000,1069059309450.000000,439961346919.000000,,,-300093.000000,,439961647012.000000,439961346919.000000,1509020656369.000000,-194589882421.000000,,,-194589882421.000000,1314430773948.000000,,1314430773948.000000,-8412050518.000000,,,,-8412050518.000000,1306018723430.000000,1314430773948.000000,1314328079733.000000,102694215.000000,1314430773948.000000,1306018723430.000000,1305916029215.000000,102694215.000000,1306018723430.000000
