Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Kurang Bayar Pajak Terkait Surat Ketetapan Pajak,Pembayaran Denda Pajak,Penerimaan Uang Jaminan,Penerimaan Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Hasil Penjualan Tanah Yang Belum Dikembangkan,Perolehan Aset Tetap,Perolehan Properti Investasi,Perolehan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Akuisisi Entitas Anak Dari Kepentingan Nonpengendali,Kenaikan Rekening Bank Yang Dibatasi Penggunannya,Pencarian (Penempatan) Investasi Jangka Panjang,Pencairan (Penempatan) Investasi Jangka Pendek,Penurunan Investasi Jangka Pendek,Penjualan Hak Merk Dagang,Perolehan Aset Sewa Pembiayaan,Penerimaan Modal Entitas Anak Dari Pihak Non Pengendali,Pembelian Saham Entitas Anak Dari Pemegang Saham Nonpengendali,Penjualan Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Uang Jaminan,Penerimaan Modal Dari Entitas Anak,Penambahan (Pengurangan) Utang Bank,Penambahan Utang Bank,Pembayaran Utang Bank,Total Penambahan (Pengurangan) Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Bunga Dan Provisi,Pembayaran Dividen Oleh Perusahaan,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non-Pengendali,Penerimaan Dari Penerbitan Modal Saham Dari Kepentingan Non-Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Akuisisi Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-41667634100.000000,4385482179402.000000,-4375702176550.000000,-54075405440.000000,,,,2627768488.000000,-41667634100.000000,46470056814.000000,71468302073.000000,3490530682.000000,28523433312.000000,-53270470934.000000,,,-1812456401.000000,,,,-3629281918.000000,,,,,,1700000000.000000,46470056814.000000,-8412677663.000000,21623929914.000000,,44617167809.000000,,,44617167809.000000,,-48682378386.000000,-25717797000.000000,-253600000.000000,,,-8412677663.000000,-3610254949.000000,,30873718451.000000,27263463502.000000
12M 2009,153590189654.000000,4930953422973.000000,-4766387752237.000000,-22389040966.000000,,,,11413559884.000000,153590189654.000000,-14118006513.000000,4512944046.000000,3968492164.000000,,-29715623137.000000,,,-3285389586.000000,,,,10401570000.000000,,,,,,,-14118006513.000000,-123692180681.000000,24865520340.000000,,-55291964287.000000,,,-55291964287.000000,,-48791891734.000000,-36739710000.000000,-7734135000.000000,,,-123692180681.000000,15780002460.000000,,27263463502.000000,43043465962.000000
12M 2010,21193998791.000000,5894955815850.000000,-5843679195807.000000,-30082621252.000000,,,,,21193998791.000000,15456569265.000000,2400038756.000000,1948542343.000000,,-41500529662.000000,,,-683570012.000000,,,,36560000000.000000,,15500000000.000000,,,,1232087840.000000,15456569265.000000,10708782891.000000,22498321539.000000,,61825401951.000000,,,61825401951.000000,,-33135146149.000000,-35821217250.000000,-4658577200.000000,,,10708782891.000000,47359350947.000000,,43043465962.000000,90402816909.000000
12M 2011,-62540211560.000000,7071072623525.000000,-7133394428291.000000,-30785122065.000000,,,27438130791.000000,3128584480.000000,-62540211560.000000,-37234572831.000000,2114518033.000000,2287698090.000000,,-52468646508.000000,,,-218142446.000000,,,,200000000.000000,,10850000000.000000,,,,,-37234572831.000000,116713992386.000000,,,,2935800233415.000000,-2715016853349.000000,220783380066.000000,,-52576083630.000000,-46843130250.000000,-4650173800.000000,,,116713992386.000000,16939207995.000000,,90402816909.000000,107342024904.000000
12M 2012,55601357866.000000,8147314047726.000000,-8068917020494.000000,-38950473833.000000,,,16066007052.000000,88797415.000000,55601357866.000000,-40564480391.000000,2128715556.000000,2049905407.000000,,-42575729554.000000,,,-1867371800.000000,,,,-300000000.000000,,,,,,,-40564480391.000000,-34132712839.000000,,,,4072547602535.000000,-3978458709915.000000,94088892620.000000,,-65825959734.000000,-58324289625.000000,-4071356100.000000,,,-34132712839.000000,-19095835364.000000,,106348196023.000000,87252360659.000000
12M 2013,97352326020.000000,8902949736038.000000,-8765142295406.000000,-45866742653.000000,,,5411628041.000000,,97352326020.000000,6153337633.000000,22931132319.000000,2298388698.000000,,-25201782545.000000,,,-524400839.000000,,,,2000000000.000000,,4650000000.000000,,,,,6153337633.000000,-124923734383.000000,,,,4762263328999.000000,-4750253067470.000000,12010261529.000000,,-65247072862.000000,-67049970750.000000,-4639452300.000000,2500000.000000,,-124923734383.000000,-21418070730.000000,,87252360659.000000,65834289929.000000
12M 2014,177707666175.000000,9487438563999.000000,-9177253249368.000000,-134097372571.000000,,,-103451208.000000,1723175323.000000,177707666175.000000,3557512055.000000,4168549151.000000,3916609490.000000,,-12376244730.000000,,,-1218922480.000000,,,,9067520624.000000,,,,,,,3557512055.000000,-214536554163.000000,,,,3092562740013.000000,-3143979862103.000000,-51417122090.000000,,-89323142548.000000,-69346202625.000000,-4450086900.000000,,,-214536554163.000000,-33271375933.000000,,65834289929.000000,32562913996.000000
12M 2015,194861102010.000000,9480599449545.000000,-9209146540185.000000,-77017907935.000000,,,426100585.000000,,194861102010.000000,-19874397495.000000,1892114075.000000,1582741695.000000,,-10768205313.000000,,,-12055290221.000000,,,,119930446.000000,,,-645688177.000000,,,,-19874397495.000000,-184996569301.000000,,,,1951935220713.000000,-1948044877766.000000,3890342947.000000,,-92147663872.000000,-86797564875.000000,-9941683501.000000,,,-184996569301.000000,-10009864786.000000,,32562913996.000000,22553049210.000000
12M 2016,402979098633.000000,10441799265154.000000,-9968481439904.000000,-72155469962.000000,,,1816743345.000000,,402979098633.000000,-14814602503.000000,767078977.000000,1019530317.000000,,-3466003541.000000,,,-11788748590.000000,,,,-192185786.000000,,,-1154273880.000000,,,,-14814602503.000000,-407567735160.000000,,,,4796799847143.000000,-5028049847143.000000,-231250000000.000000,,-66662919785.000000,-97819477875.000000,-11835337500.000000,,,-407567735160.000000,-19403239030.000000,,22553049210.000000,3149810180.000000
12M 2017,634622494223.000000,10422333946669.000000,-9773985698594.000000,-81329707775.000000,,,1054185544.000000,66549768379.000000,634622494223.000000,-9966276924.000000,555118182.000000,3099121760.000000,,-8444626788.000000,,,-3075957648.000000,,,,304734716.000000,,,-2404667146.000000,,,,-9966276924.000000,-568606445974.000000,,,,1721500000000.000000,-2145500000000.000000,-424000000000.000000,,-27428490324.000000,-105626666250.000000,-11551289400.000000,,,-568606445974.000000,56049771325.000000,,3149810180.000000,59199581505.000000
12M 2018,37887768280.000000,13513354607228.000000,-13386960014290.000000,-91068365693.000000,,,1021577284.000000,1539963751.000000,37887768280.000000,-6880460638.000000,1129204546.000000,10544952263.000000,,-10889010381.000000,,,-3550000000.000000,,,,,,,-4115607066.000000,,,,-6880460638.000000,159782680650.000000,,,,2763000000000.000000,-2416000000000.000000,347000000000.000000,,-30411478550.000000,-146958840000.000000,-9847000800.000000,,,159782680650.000000,190789988292.000000,,59199581505.000000,249989569797.000000
12M 2019,1071859164912.000000,14496209449676.000000,-13305397135064.000000,-122370262617.000000,,,2910496768.000000,506616149.000000,1071859164912.000000,-64459157282.000000,2874974492.000000,19645985906.000000,,-10963806628.000000,,,-8505000000.000000,,-796000.000000,,,,,-4786948052.000000,,-62723567000.000000,,-64459157282.000000,-642152275915.000000,,,,585000000000.000000,-993000000000.000000,-408000000000.000000,,-12359583865.000000,-219519767250.000000,-2272924800.000000,,,-642152275915.000000,365247731715.000000,,249989569797.000000,615237301512.000000
12M 2020,801751675565.000000,13746008124630.000000,-12843532218004.000000,-101949304470.000000,,-222772591.000000,1282742000.000000,165104000.000000,801751675565.000000,-42511580223.000000,693278907.000000,34041915133.000000,,-11721791483.000000,,,-1525778780.000000,,1000796000.000000,,-65000000000.000000,,,,,,,-42511580223.000000,-322875495162.000000,,,,,-25000000000.000000,-25000000000.000000,-31084996845.000000,-5019094567.000000,-261770433750.000000,-970000.000000,,,-322875495162.000000,436364600180.000000,,615237301512.000000,1051601901692.000000
12M 2021,71133769549.000000,11795882162395.000000,-11511802641936.000000,-145318279633.000000,-65845814041.000000,,-2166768222.000000,385110986.000000,71133769549.000000,-434571214144.000000,1071695074.000000,19574182104.000000,,-14843726796.000000,,-17879738398.000000,-1604726128.000000,,,-54888900000.000000,-366000000000.000000,,,,,,,-434571214144.000000,-362419934602.000000,,,,,,,-26792210465.000000,-4969544137.000000,-330657390000.000000,-790000.000000,,,-362419934602.000000,-725857379197.000000,,1051601901692.000000,325744522495.000000
12M 2022,654165050864.000000,12810123113525.000000,-12027276897486.000000,-127788290617.000000,,,-1830119863.000000,937245305.000000,654165050864.000000,-196641940145.000000,239450631.000000,15658366697.000000,,-103266967947.000000,,-29712555368.000000,-5334588466.000000,,,-65225645692.000000,-9000000000.000000,,,,,,,-196641940145.000000,-203995680974.000000,,100005000000.000000,,,,,-28304117059.000000,-4730772665.000000,-270955361250.000000,-10430000.000000,,,-203995680974.000000,253527429745.000000,557802699.000000,325744522495.000000,579829754939.000000
12M 2023,624616000000.000000,15744791000000.000000,-14992225000000.000000,-128698000000.000000,,,,748000000.000000,624616000000.000000,89948000000.000000,331000000.000000,29396000000.000000,,-205627000000.000000,,-13176000000.000000,-4917000000.000000,,,-36346000000.000000,320287000000.000000,,,,,,,89948000000.000000,-249031000000.000000,,52051000000.000000,,65665000000.000000,,65665000000.000000,-33630000000.000000,-7051000000.000000,-326065000000.000000,-1000000.000000,,,-249031000000.000000,465533000000.000000,,579830000000.000000,1045363000000.000000
12M 2024,199029000000.000000,14812704000000.000000,-14547126000000.000000,-119021000000.000000,,,,52472000000.000000,199029000000.000000,-137635000000.000000,1099000000.000000,32757000000.000000,,-41270000000.000000,,-13523000000.000000,-14292000000.000000,,,19349000000.000000,-121755000000.000000,,,,,,,-137635000000.000000,-294073000000.000000,,,,59080000000.000000,-6250000000.000000,52830000000.000000,-42922000000.000000,-17406000000.000000,-286570000000.000000,-5000000.000000,,,-294073000000.000000,-232679000000.000000,,1045363000000.000000,812684000000.000000
